Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,781,,0.9837,15.358,15.6121,119,1-Jul-12,30-Jun-15
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,273,,1.0618,13.8887,13.0809,40,1-Jul-12,30-Jun-15
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,709,,1.0455,19.7525,18.8932,143,1-Jul-12,30-Jun-15
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,983,,0.9509,20.2502,21.2964,196,1-Jul-12,30-Jun-15
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-HIP-KNEE-HRRP,335,,1.1198,5.6025,5.0034,21,1-Jul-12,30-Jun-15
SOUTHEAST ALABAMA MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,664,,1.0892,17.2654,15.8507,119,1-Jul-12,30-Jun-15
MARSHALL MEDICAL CENTER SOUTH,10005,AL,READM-30-AMI-HRRP,Not Available,,0.9905,16.3958,16.5529,Too Few to Report,1-Jul-12,30-Jun-15
MARSHALL MEDICAL CENTER SOUTH,10005,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
MARSHALL MEDICAL CENTER SOUTH,10005,AL,READM-30-COPD-HRRP,667,,0.9014,17.0536,18.9196,107,1-Jul-12,30-Jun-15
MARSHALL MEDICAL CENTER SOUTH,10005,AL,READM-30-HF-HRRP,389,,1.0001,21.5918,21.5891,84,1-Jul-12,30-Jun-15
MARSHALL MEDICAL CENTER SOUTH,10005,AL,READM-30-HIP-KNEE-HRRP,249,,1.2776,6.8669,5.375,22,1-Jul-12,30-Jun-15
MARSHALL MEDICAL CENTER SOUTH,10005,AL,READM-30-PN-HRRP,890,,0.9553,15.5403,16.2681,136,1-Jul-12,30-Jun-15
ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,READM-30-AMI-HRRP,356,,0.9591,14.4326,15.0476,49,1-Jul-12,30-Jun-15
ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,READM-30-CABG-HRRP,134,,1.0648,14.0381,13.1837,21,1-Jul-12,30-Jun-15
ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,READM-30-COPD-HRRP,713,,0.994,18.0069,18.1154,128,1-Jul-12,30-Jun-15
ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,READM-30-HF-HRRP,804,,0.9436,19.5895,20.7614,154,1-Jul-12,30-Jun-15
ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,READM-30-HIP-KNEE-HRRP,378,,1.0982,4.8098,4.3799,20,1-Jul-12,30-Jun-15
ELIZA COFFEE MEMORIAL HOSPITAL,10006,AL,READM-30-PN-HRRP,892,,1.0426,16.9133,16.2224,153,1-Jul-12,30-Jun-15
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-COPD-HRRP,130,,0.996,16.3468,16.4118,21,1-Jul-12,30-Jun-15
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,107,,0.9608,19.0462,19.8237,18,1-Jul-12,30-Jun-15
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-PN-HRRP,200,,1.0116,14.2141,14.051,29,1-Jul-12,30-Jun-15
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-COPD-HRRP,Not Available,,0.962,15.7724,16.3947,Too Few to Report,1-Jul-12,30-Jun-15
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HF-HRRP,Not Available,,1.0559,19.2152,18.1984,Too Few to Report,1-Jul-12,30-Jun-15
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-PN-HRRP,Not Available,,0.9349,12.721,13.6069,Too Few to Report,1-Jul-12,30-Jun-15
ST VINCENT'S EAST,10011,AL,READM-30-AMI-HRRP,277,,1.0611,16.0942,15.1673,48,1-Jul-12,30-Jun-15
ST VINCENT'S EAST,10011,AL,READM-30-CABG-HRRP,128,,1.0542,14.1747,13.4464,20,1-Jul-12,30-Jun-15
ST VINCENT'S EAST,10011,AL,READM-30-COPD-HRRP,280,,0.9713,18.542,19.0898,50,1-Jul-12,30-Jun-15
ST VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,386,,0.8962,19.3386,21.5774,68,1-Jul-12,30-Jun-15
ST VINCENT'S EAST,10011,AL,READM-30-HIP-KNEE-HRRP,281,,1.1338,5.1758,4.565,17,1-Jul-12,30-Jun-15
ST VINCENT'S EAST,10011,AL,READM-30-PN-HRRP,617,,0.9793,16.0565,16.3951,98,1-Jul-12,30-Jun-15
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-AMI-HRRP,130,,0.9497,14.5701,15.3426,16,1-Jul-12,30-Jun-15
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-COPD-HRRP,212,,0.9634,15.7316,16.3285,31,1-Jul-12,30-Jun-15
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,183,,1.0718,20.6785,19.2942,42,1-Jul-12,30-Jun-15
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,1-Jul-12,30-Jun-15
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,301,,1.1339,17.1411,15.1175,58,1-Jul-12,30-Jun-15
